timestamp,open,high,low,close,volume
12/10/2018,165,170.09,163.33,169.6,62025994
12/11/2018,171.66,171.79,167,168.63,47281665
12/12/2018,170.4,171.92,169.02,169.1,35627674
12/13/2018,170.49,172.57,169.55,170.95,31897827
12/14/2018,169,169.08,165.28,165.48,40703710
12/17/2018,165.45,168.35,162.73,163.94,44287922
12/18/2018,165.38,167.53,164.39,166.07,33841518
12/19/2018,166,167.45,159.09,160.89,49047297
12/20/2018,160.4,162.11,155.3,156.83,64772960
12/21/2018,156.86,158.16,149.63,150.73,95744384
12/24/2018,148.15,151.55,146.59,146.83,37169232
12/26/2018,148.3,157.23,146.72,157.17,58582544
12/27/2018,155.84,156.77,150.07,156.15,53117065
12/28/2018,157.5,158.52,154.55,156.23,42291424
12/31/2018,158.53,159.36,156.48,157.74,35003466
1/2/2019,154.89,158.85,154.23,157.92,37039737
1/3/2019,143.98,145.72,142,142.19,91312195
1/4/2019,144.53,148.55,143.8,148.26,58607070
1/7/2019,148.7,148.83,145.9,147.93,54777764
1/8/2019,149.56,151.82,148.52,150.75,41025314
1/9/2019,151.29,154.53,149.63,153.31,45099081
1/10/2019,152.5,153.97,150.86,153.8,35780670
1/11/2019,152.88,153.7,151.51,152.29,27023241
1/14/2019,150.85,151.27,149.22,150,32439186
1/15/2019,150.27,153.39,150.05,153.07,28710324
1/16/2019,153.08,155.88,153,154.94,30569706
1/17/2019,154.2,157.66,153.26,155.86,29821160
1/18/2019,157.5,157.88,155.98,156.82,33751023
1/22/2019,156.41,156.73,152.62,153.3,30393970
1/23/2019,154.15,155.14,151.7,153.92,23130570
1/24/2019,154.11,154.48,151.74,152.7,25441549
1/25/2019,155.48,158.13,154.32,157.76,33547893
1/28/2019,155.79,156.33,153.66,156.3,26192058
1/29/2019,156.25,158.13,154.11,154.68,41587239
1/30/2019,163.25,166.15,160.23,165.25,61109780
1/31/2019,166.11,169,164.56,166.44,40739649
2/1/2019,166.96,168.98,165.93,166.52,32668138
2/4/2019,167.41,171.66,167.28,171.25,31495582
2/5/2019,172.86,175.08,172.35,174.18,36101628
2/6/2019,174.65,175.57,172.85,174.24,28239591
2/7/2019,172.4,173.94,170.34,170.94,31741690
2/8/2019,168.99,170.66,168.42,170.41,23819966
2/11/2019,171.05,171.21,169.25,169.43,20993425
